customer_id,customer_first_name,customer_last_name,customer_email_address
1,Bruce,Jones,BruceJones@yahoo.com
2,Wendy,Smith,WendySmith@gmail.com
3,William,Penn,WilliamPenn@fairpoint.com
4,Joan,Arc,JoanArc@comcast.com
5,Albert,Einstein,AlbertEinstein@yahoo.com
6,Marie,Currie,MarieCurrie@gmail.com
7,Margaret,Thatcher,MargaretThatcher@fairpoint.com
8,John D.,Manchester,John D.Manchester@comcast.com
9,John,Doe,JohnDoe@yahoo.com
10,Jane,Same,JaneSame@gmail.com
11,Tom,Smythe,TomSmythe@fairpoint.com
12,Kate,Abbott,KateAbbott@comcast.com
13,Bethune,Emily,BethuneEmily@yahoo.com
14,Ovitt,Joanne,OvittJoanne@gmail.com
15,Flower,Daisy,FlowerDaisy@fairpoint.com
16,Dumber,Dumb,DumberDumb@comcast.com
17,Ovitt,Samantha,OvittSamantha@yahoo.com
18,Taylor C.,Bigam,Taylor C.Bigam@gmail.com
19,Dudlee,Dudders,DudleeDudders@fairpoint.com
20,Foster,Dood,FosterDood@comcast.com
21,Lily,Snyder,LilySnyder@yahoo.com
22,Kat,Killinger,KatKillinger@gmail.com
23,Luke,Skywalker,LukeSkywalker@fairpoint.com
24,Road,Kill,RoadKill@comcast.com
25,Derek,Jeter,DerekJeter@yahoo.com
26,Pass,Go,PassGo@gmail.com
27,Steve,Scuba,SteveScuba@fairpoint.com
28,Mickey,Mouse,MickeyMouse@comcast.com
29,Chris,Jones,ChrisJones@yahoo.com
30,Mac,LeMore,MacLeMore@gmail.com
31,Dag,Nabbit,DagNabbit@fairpoint.com
32,William,Wonka,WilliamWonka@comcast.com
33,David,Jones,DavidJones@yahoo.com
34,Santa,Claws,SantaClaws@gmail.com
35,Johnny,Rocket,JohnnyRocket@fairpoint.com
36,Michael,Hunt,MichaelHunt@comcast.com
37,Easter,Bunny,EasterBunny@yahoo.com
38,Smith,Timothy,SmithTimothy@gmail.com
39,Arts,Franklin,ArtsFranklin@fairpoint.com
40,Caisse,Anna,CaisseAnna@comcast.com
41,Olivares,Eric,OlivaresEric@yahoo.com
42,Sampson,Thomas,SampsonThomas@gmail.com
43,James,Boiben,JamesBoiben@yahoo.com
44,Sally,Jane,SallyJane@gmail.com
45,Amanda,Fintz,AmandaFintz@yahoo.com
46,Marc,Bartalone,MarcBartalone@gmail.com
47,Brian,Parker,BrianParker@yahoo.com
48,Garth,Fitzgerald,GarthFitzgerald@gmail.com
49,Barbara,Martin,BarbaraMartin@yahoo.com
50,Homer,Reynolds,HomerReynolds@gmail.com
51,Nikola,Tesla,NikolaTesla@yahoo.com
52,Sebastian,Alias,SebastianAlias@gmail.com
53,Jake,Johnson,JakeJohnson@yahoo.com
54,Santa,Clause,SantaClause@gmail.com
55,Bruce,Jones,BruceJones@yahoo.com
56,Guy,Getdown,GuyGetdown@gmail.com
57,Sung,Fugong,SungFugong@yahoo.com
58,John,Brown,JohnBrown@gmail.com
59,Peter,White,PeterWhite@yahoo.com
60,Josh,Green,JoshGreen@gmail.com
61,Joan,Jacobs,JoanJacobs@yahoo.com
62,Jennifer,Atrast,JenniferAtrast@gmail.com
63,Taylor C.,Bigam,Taylor C.Bigam@yahoo.com
64,Dudlee,Dudders,DudleeDudders@gmail.com
65,Foster,Dood,FosterDood@yahoo.com
66,Lily,Snyder,LilySnyder@gmail.com
67,Kat,Killinger,KatKillinger@yahoo.com
68,Bruce.,Wayne,Bruce.Wayne@gmail.com
69,Peter,Parker,PeterParker@yahoo.com
70,Clark,Kent,ClarkKent@gmail.com
71,Tony,Stark,TonyStark@yahoo.com
72,Agent,Coulson,AgentCoulson@gmail.com
73,Oscar,Madison,OscarMadison@yahoo.com
74,Brianne,DeVincent,BrianneDeVincent@gmail.com
75,Richard,Teabeau,RichardTeabeau@yahoo.com
76,William,Reynolds,WilliamReynolds@gmail.com
77,Kennedy,Tran,KennedyTran@yahoo.com
78,Alma,Conway,AlmaConway@gmail.com
